,ap_los,both,competitor_cheapest,competitor_cxr_div,competitor_fare_mean,competitor_fare_std,competitor_min_carrier,competitor_only,competitor_time_max,competitor_time_mean,competitor_time_min,competitor_time_std,cxr_div,file_name,lfe,lfe_fare_difference,ond,overlap,quickest,sabre_cheapest,sabre_cxr_div,sabre_fare_mean,sabre_fare_std,sabre_min_carrier,sabre_only,sabre_time_max,sabre_time_mean_sabre,sabre_time_min,sabre_time_std,search_date
108,22_722_7,76,451.98,5,678.2993023255813,57.577994578360375,"{'AF-KL': 697.43, 'GF': 615.71, 'KL': 670.12, 'LH': 600.99, 'SU': 451.98}",129,3215.0,1606.8992248062016,990.0,270.27416187552853,competitor,20180815_DXBPAR_22_7-processed,sabre,0.05307756980397364,DXBPAR,71.69811320754717,sabre,427.99,18,723.1383720930233,417.9072545598311,"{'9W': 962.08, 'AF': 812.4, 'AF-EK': 2517.54, 'AF-KL': 639.12, 'AF-ME': 988.89, 'BA': 782.84, 'EK': 845.68, 'ET': 991.58, 'EY': 802.68, 'LH-LX': 574.12, 'LX': 809.0, 'ME': 454.38, 'MS': 1323.88, 'PS': 447.18, 'RJ': 863.53, 'SU': 427.99, 'TK': 711.63, 'WY': 664.14}",129,2945.0,1822.2945736434108,825.0,631.2087536413367,20180815
109,3_23_2,120,995.96,3,1237.5051807228917,147.36312245408672,"{'GF': 995.96, 'SU': 1112.51, 'TK': 1072.46}",83,3150.0,2111.2048192771085,1300.0,599.203531507962,competitor,20180815_DXBPAR_3_2-processed,sabre,0.09985340776738026,DXBPAR,-162.16216216216216,sabre,896.51,12,1554.3542168674699,791.8594695662591,"{'9W': 1309.08, 'AF': 1816.4, 'AF-AZ-MS': 2700.94, 'AF-EK': 3996.54, 'AF-KL': 1734.43, 'ET': 1541.58, 'GF': 975.96, 'LX': 1832.0, 'SU': 896.51, 'SV': 2254.2, 'TK': 1123.46, 'WY': 1096.14}",83,3515.0,2073.373493975904,835.0,676.0060742771432,20180815
110,8_28_2,64,1290.99,8,1986.1347517730496,352.3944828122953,"{'AF': 1290.99, 'AF-KL': 1409.43, 'AF-SU': 2275.42, 'EY-SU': 2282.56, 'KL': 1511.12, 'LX': 1489.32, 'SU': 1688.44, 'TK': 1904.63}",141,2140.0,1557.6170212765958,965.0,224.2908717196893,competitor,20180815_DXBPAR_8_2-processed,sabre,0.024446355122812683,DXBPAR,41.55844155844156,sabre,1259.43,15,1703.31609929078,665.4375857581805,"{'9W': 1428.08, 'AF': 1297.09, 'AF-KL': 1259.43, 'BE-EK-KQ': 2733.48, 'CA': 2397.56, 'EK': 4292.8, 'EK-KQ': 2716.49, 'ET': 2660.58, 'EY': 1445.68, 'KL': 1481.12, 'LH': 1485.24, 'LX': 1718.0, 'SU': 1282.88, 'SV': 2294.2, 'WY': 2059.7}",141,3620.0,1797.2624113475176,825.0,706.6060394124465,20180815
111,8_78_7,79,1024.43,8,1170.1203174603172,108.20561677795847,"{'AF': 1024.43, 'AF-KL': 1225.43, 'GF': 1034.96, 'JU': 1064.43, 'KL': 1296.12, 'LH': 1127.24, 'LH-LX': 1238.12, 'SU': 1064.43}",126,3395.0,1935.357142857143,965.0,553.4944186065217,competitor,20180815_DXBPAR_8_7-processed,competitor,-0.021192272776080393,DXBPAR,84.04255319148936,sabre,1046.14,14,1293.969365079365,397.34688705914584,"{'9W': 1237.08, 'AF': 1190.09, 'AF-FZ': 1572.18, 'AF-KL': 1087.43, 'AF-MS': 4007.14, 'BA': 1447.84, 'EK': 2563.96, 'EY': 1106.68, 'KL': 1362.12, 'LX': 1467.0, 'PS': 1307.18, 'SU': 1047.44, 'TK': 1310.46, 'WY': 1046.14}",126,4230.0,1679.079365079365,825.0,585.7419445889066,20180815
112,15_315_3,105,873.04,1,898.4700990099011,16.41707973392647,{'TX': 873.04},101,3150.0,2383.5643564356437,1370.0,366.14569274652365,competitor,20180815_FDFPAR_15_3-processed,sabre,0.030101713552643607,FDFPAR,-1312.5,sabre,846.76,5,1087.3425742574254,216.31487232575324,"{'AA': 1348.93, 'AF': 912.56, 'AF-SS': 1240.56, 'SS': 846.76, 'TX': 909.91}",101,4041.0,1469.960396039604,995.0,477.51456356413,20180815
113,15_715_7,150,878.1,1,950.9807547169812,43.94514013775747,{'TX': 878.1},53,3150.0,2423.6792452830186,1615.0,406.1002989782065,competitor,20180815_FDFPAR_15_7-processed,competitor,-0.2636601753786583,FDFPAR,-77.31958762886597,sabre,1109.62,4,1234.0603773584905,136.30321965498976,"{'AA': 1348.93, 'AF': 1307.62, 'AF-SS': 1230.56, 'SS': 1109.62}",53,4045.0,1586.5094339622642,995.0,712.0208138336728,20180815
114,22_1422_14,157,666.11,2,707.3810416666665,22.004082139610766,"{'AF': 722.1, 'TX': 666.11}",48,3790.0,3021.6666666666665,2340.0,397.95532376927946,competitor,20180815_FDFPAR_22_14-processed,sabre,0.17725300626022736,FDFPAR,-72.01834862385321,sabre,548.04,6,729.7481250000001,228.1471928164504,"{'AA': 1094.16, 'AF': 695.4, 'AF-SS': 1230.56, 'SS': 548.04, 'SS-TX': 759.11, 'TX': 606.76}",48,4085.0,2085.9375,1005.0,850.9573183848681,20180815
115,22_722_7,160,632.39,2,702.7486666666665,28.511975522257636,"{'AF': 722.1, 'TX': 632.39}",45,3790.0,2807.5555555555557,2395.0,341.16048979619524,competitor,20180815_FDFPAR_22_7-processed,sabre,0.13338288081721728,FDFPAR,-69.56521739130434,sabre,548.04,6,719.4115555555558,234.9820349221651,"{'AA': 1094.16, 'AF': 690.87, 'AF-SS': 1230.56, 'SS': 548.04, 'SS-TX': 759.11, 'TX': 606.76}",45,4085.0,2220.0,1005.0,855.8628023016519,20180815
116,3_23_2,108,910.56,4,1329.2975531914888,156.80696950501465,"{'3S-AF-SS': 1398.62, 'AF-SS': 1447.71, 'SS': 1250.56, 'TX': 910.56}",94,2975.0,2250.744680851064,1005.0,417.9410344830186,competitor,20180815_FDFPAR_3_2-processed,sabre,0.013749780354946388,FDFPAR,-385.7142857142857,sabre,898.04,8,1569.8731914893624,426.3471883266101,"{'3S-AF-SS': 1237.01, 'AA': 2342.39, 'AF': 1875.56, 'AF-SS': 1245.62, 'AF-SS-WM': 1237.01, 'DL': 1824.67, 'SS': 898.04, 'TX': 1483.7}",94,4078.0,2096.2659574468084,995.0,766.808764421896,20180815
117,8_28_2,104,1406.91,3,1482.6119791666667,93.20774998972412,"{'SE-SS': 1580.7, 'SS': 1406.91, 'TX': 1406.91}",96,3915.0,2452.1875,1035.0,571.9246419351343,competitor,20180815_FDFPAR_8_2-processed,sabre,0.18257742144131472,FDFPAR,-650.0,sabre,1150.04,5,1516.3384374999998,220.66432956357812,"{'3S-AF-SS': 1502.62, 'AA': 2385.39, 'AF': 1875.56, 'AF-SS': 1487.56, 'SS': 1150.04}",96,3936.0,1855.1145833333333,995.0,800.067495439461,20180815
