,ap_los,both,competition_cheapest,competition_time_max,competition_time_mean,competition_time_min,competition_time_std,competitor_fare_mean,competitor_fare_std,competitor_min_carrier,competitor_only,file_name,ond,overlap,sabre_cheapest,sabre_fare_mean,sabre_fare_std,sabre_min_carrier,sabre_only,sabre_time_max,sabre_time_mean=sabre,sabre_time_min,sabre_time_std,search_date
0,22_14,18,507.99,1675,981.2096774,205,308.2921817,548.1244086,14.05618836,"{'VA': 557.99, 'QF-VA': 507.99, 'QF': 533.99}",186,20180823_ADLCBR_22_14-2,ADLCBR,5.357142857,528.7,583.3531183,35.58156974,"{'JQ-QF': 592.78, 'VA': 557.67, 'QF': 528.7}",186,1050,630.2688172,205,210.5691972,20180823
1,3_23_2,64,507.99,1815,854.9637681,290,355.1218031,521.9102899,6.655288873,"{'VA': 508.99, 'QF-VA': 507.99}",138,20180823_ADLCBR_3_2-2,ADLCBR,43.24324324,528.7,568.7516667,37.37672508,"{'VA': 533.97, 'QF': 528.7}",138,1450,622.7536232,205,189.3757248,20180823
2,22_1422_14,60,259.99,185,185,185,0,348.7547059,23.22767712,"{'QF-VA': 369.99, 'JQ-VA': 311.99, 'TT': 287.99, 'JQ-TT': 259.99, 'QF-TT': 340.99, 'TT-VA': 298.99}",187,20180823_BNESYD_22_14-2,BNESYD,23.62204724,384,431.1430481,30.09306064,"{'JQ-QF': 405.94, 'VA': 384.0, 'JQ': 471.85, 'QF': 408.02}",187,185,185,185,0,20180823
3,3_23_2,69,242.99,185,185,185,0,322.0291061,29.6650521,"{'VA': 349.99, 'QF-VA': 335.99, 'JQ-VA': 274.99, 'TT': 242.99, 'JQ-TT': 257.99, 'QF-TT': 242.99, 'TT-VA': 257.99}",179,20180823_BNESYD_3_2-2,BNESYD,31.36363636,360.03,397.7935754,19.79302495,"{'JQ-QF': 433.94, 'VA': 380.0, 'QF': 360.03}",179,185,185,185,0,20180823
4,22_1422_14,40,266.99,185,180.2403846,180,1.072224581,322.4707692,13.40018081,"{'JQ-VA': 319.99, 'TT': 293.99, 'JQ': 323.99, 'JQ-TT': 266.99, 'QF-TT': 326.99, 'TT-VA': 306.99}",208,20180823_MELSYD_22_14-2,MELSYD,11.9047619,370.8,398.0820673,25.86827774,"{'JQ-QF': 370.8, 'VA': 374.99, 'QF': 424.01}",208,180,180,180,0,20180823
5,3_23_2,87,183.99,185,182.2392638,180,2.494028314,235.0390798,28.2995013,"{'TT': 198.99, 'JQ-TT': 183.99, 'JQ-VA': 213.99, 'TT-VA': 228.99}",163,20180823_MELSYD_3_2-2,MELSYD,57.23684211,295,413.8406748,53.27379767,"{'JQ-QF': 325.8, 'VA': 295.0, 'JQ': 356.4, 'QF': 424.01}",163,180,180,180,0,20180823
6,22_14,18,696.99,2780,1755.558511,950,427.0030893,868.1868085,55.52547799,"{'AK-D7-TR': 696.99, 'GA-TR': 882.99, 'AK-D7': 818.99, 'EK': 831.99, 'AK-D7-QF': 939.99, 'QF-TR': 844.99, 'EK-TR': 829.99, '3K-AK-D7-JQ': 837.99}",188,20180823_SINSYD_22_14-2,SINSYD,5.247813411,746.81,909.0345026,108.4796992,"{'PR': 899.56, 'EK': 831.61, 'SQ': 1334.66, 'MH': 1266.72, 'EK-QF': 883.53, 'GA': 987.66, 'QF': 746.81}",191,4055,1919.764398,955,520.9107126,20180823
7,3_23_2,5,585.99,3170,1956.186047,950,591.5865432,760.3481395,87.03161482,"{'5J-JQ': 817.99, 'AK-D7-TR': 585.99, 'GA-TR': 865.99, 'AK-D7': 652.99, 'QF-TR': 836.99, 'AK-D7-QF': 866.99, 'AK-D7-EK': 866.99, '5J-AK-D7': 750.99, '5J-TR': 745.99, 'EK-TR': 836.99, 'JQ-TR': 652.99, 'AK-D7-TG': 848.99, 'TG-TR': 843.99, 'AK-D7-JQ': 719.99, 'CX-TR': 871.99}",215,20180823_SINSYD_3_2-2,SINSYD,1.187648456,862.32,1180.97375,745.7503943,"{'PR': 995.96, 'EK': 1095.66, 'BA-QF': 5871.21, 'SQ': 1304.66, 'MH': 862.32, 'JQ': 862.79, 'EK-QF': 1095.66, 'GA': 1096.06, 'QF': 1088.29, 'QF-SQ': 7155.66}",216,4100,2396.342593,950,803.476923,20180823
