,ap_los,both,competitor_cheapest,competitor_cxr_div,competitor_fare_mean,competitor_fare_std,competitor_min_carrier,competitor_only,competitor_time_max,competitor_time_mean,competitor_time_min,competitor_time_std,cxr_div,file_name,lfe,lfe_fare_difference,ond,overlap,quickest,sabre_cheapest,sabre_cxr_div,sabre_fare_mean,sabre_fare_std,sabre_min_carrier,sabre_only,sabre_time_max,sabre_time_mean_sabre,sabre_time_min,sabre_time_std,search_date
44,22_1422_14,77,349.99,9,418.2196296296297,26.49723746252398,"{'QF-VA': 413.99, 'JQ-VA': 379.99, 'NZ-VA': 361.99, 'JQ': 438.99, 'EK-JQ': 459.99, 'NZ-QF': 422.99, 'NZ': 405.99, 'JQ-NZ': 349.99, 'EK-NZ': 441.99}",135,740.0,470.3703703703704,455.0,40.71025041273723,sabre,20180823_AKLMEL_22_14-2,competitor,-0.424154975856453,AKLMEL,55.0,competitor,498.44,7,602.2012578616352,38.64334217702062,"{'VA': 576.99, 'EK': 498.44, 'SQ': 686.48, 'JQ': 561.65, 'JQ-QF': 542.64, 'EK-QF': 557.44, 'QF': 498.44}",159,1835.0,893.8050314465409,460.0,376.8790303516874,20180823
45,22_722_7,55,349.99,13,508.36423312883426,58.98358067089629,"{'VA': 546.99, 'QF-VA': 483.99, 'JQ-VA': 391.99, 'NZ-VA': 361.99, 'NZ-SQ': 519.99, 'JQ': 529.99, 'EK-JQ': 571.99, 'NZ-QF': 441.99, 'NZ': 371.99, 'JQ-NZ': 349.99, 'EK-NZ': 441.99, 'EK-VA': 483.99, 'SQ-VA': 561.99}",163,1025.0,539.5705521472393,455.0,144.68932103406314,sabre,20180823_AKLMEL_22_7-2,competitor,-0.5081573759250265,AKLMEL,25.229357798165136,competitor,527.84,7,617.7881818181818,63.511823973799835,"{'VA': 527.84, 'EK': 634.44, 'SQ': 641.48, 'JQ-QF': 633.64, 'NZ': 697.44, 'EK-QF': 634.44, 'QF': 588.44}",165,2210.0,832.2545454545455,460.0,353.2421206299437,20180823
46,3_23_2,59,382.99,12,608.0638255033556,75.92511370651823,"{'QF-VA': 457.99, 'JQ-VA': 382.99, 'EK': 557.99, 'NZ-VA': 405.99, 'JQ-SQ': 678.99, 'EK-JQ': 477.99, 'NZ-QF': 475.99, 'NZ': 698.99, 'JQ-NZ': 400.99, 'EK-NZ': 500.99, 'EK-VA': 542.99, 'EK-QF': 552.99}",149,880.0,528.5234899328859,455.0,117.04339596529752,sabre,20180823_AKLMEL_3_2-2,competitor,-0.5124154677667824,AKLMEL,29.64824120603015,competitor,579.24,8,762.1520238095238,50.77744551594909,"{'VA': 653.84, 'EK': 747.44, 'JQ': 813.65, 'JQ-QF': 579.24, 'NZ': 761.44, 'EK-QF': 747.44, 'EK-JQ-QF': 670.24, 'QF': 675.21}",168,2005.0,807.2738095238095,460.0,330.466186813896,20180823
47,8_28_2,63,412.99,11,518.1298601398599,33.96613918666511,"{'QF-VA': 483.99, 'JQ-VA': 412.99, 'EK': 538.99, 'NZ-VA': 419.99, 'JQ': 537.99, 'EK-JQ': 500.99, 'NZ-QF': 483.99, 'EK-QF': 548.99, 'EK-NZ': 483.99, 'EK-VA': 483.99, 'JQ-NZ': 412.99}",143,740.0,480.2097902097902,455.0,61.75506515655934,sabre,20180823_AKLMEL_8_2-2,competitor,-0.3812440979200466,AKLMEL,36.627906976744185,competitor,570.44,8,683.160193548387,66.56502005871283,"{'JQ-LA': 612.99, 'VA': 571.45, 'EK': 570.44, 'JQ': 622.55, 'JQ-QF': 619.55, 'NZ': 602.44, 'EK-QF': 588.44, 'QF': 570.44}",155,1810.0,816.9290322580645,460.0,319.3194286733555,20180823
48,8_78_7,62,370.99,10,453.0552173913042,28.848764100016165,"{'QF-VA': 457.99, 'JQ-VA': 402.99, 'NZ-VA': 405.99, 'JQ': 475.99, 'EK-JQ': 438.99, 'NZ-QF': 429.99, 'NZ': 464.99, 'JQ-NZ': 370.99, 'EK-NZ': 441.99, 'EK-VA': 483.99}",138,740.0,471.92028985507244,455.0,39.987783096786735,sabre,20180823_AKLMEL_8_7-2,competitor,-0.34354025714978836,AKLMEL,36.470588235294116,competitor,498.44,8,618.4897435897435,78.28262359778947,"{'VA': 499.45, 'EK': 498.44, 'JQ': 606.55, 'JQ-QF': 576.44, 'NZ': 538.44, 'EK-QF': 557.44, 'QF': 498.44, 'NZ-SQ': 816.48}",156,2180.0,728.1089743589744,460.0,343.2996165999184,20180823
49,15_315_3,29,405.99,12,507.2073913043477,23.108830704851723,"{'JQ-LA': 468.99, 'QF-VA': 509.99, 'JQ-VA': 423.99, 'LA-NZ': 498.99, 'NZ-VA': 453.99, 'EK-JQ': 521.99, 'JQ-QF': 468.99, 'NZ-QF': 485.99, 'LA-VA': 517.99, 'JQ-NZ': 405.99, 'EK-NZ': 490.99, 'EK-VA': 509.99}",184,1115.0,655.7989130434783,400.0,247.13324164202422,sabre,20180823_AKLSYD_15_3-2,competitor,-0.30017980738441835,AKLSYD,9.32475884244373,sabre,527.86,11,618.5536216216216,59.264461318732415,"{'JQ-LA': 597.96, 'TN': 807.86, 'EK': 564.76, 'LA': 545.86, 'VA': 527.86, 'JQ': 555.96, 'EK-JQ': 627.86, 'JQ-QF': 587.41, 'NZ': 618.86, 'EK-QF': 614.31, 'QF': 564.31}",185,1465.0,573.3189189189189,399.0,288.83215172205144,20180823
50,15_715_7,43,388.99,14,490.1017647058822,27.498345993356484,"{'JQ-LA': 388.99, 'QF-VA': 509.99, 'LA-QF': 474.99, 'JQ-VA': 423.99, 'LA-NZ': 433.99, 'EK-LA': 474.99, 'NZ-VA': 453.99, 'EK-JQ': 501.99, 'JQ-QF': 464.99, 'NZ-QF': 490.99, 'LA-VA': 437.99, 'JQ-NZ': 405.99, 'EK-NZ': 490.99, 'EK-VA': 509.99}",170,1140.0,443.0,399.0,123.11393674202098,sabre,20180823_AKLSYD_15_7-2,competitor,-0.3570014653332991,AKLSYD,16.666666666666668,tie,527.86,9,607.8797701149426,65.28174193451528,"{'JQ-LA': 549.8, 'TN': 807.86, 'EK': 564.76, 'VA': 527.86, 'JQ': 585.96, 'JQ-QF': 568.31, 'NZ': 573.86, 'EK-QF': 614.31, 'QF': 564.31}",174,1445.0,503.2528735632184,399.0,247.7416246090859,20180823
51,22_1422_14,18,458.99,10,529.7797435897434,33.67280247057816,"{'JQ-LA': 558.99, 'QF-VA': 458.99, 'JQ-VA': 557.99, 'NZ-VA': 484.99, 'JQ-QF': 472.99, 'NZ-QF': 521.99, 'LA-VA': 544.99, 'EK-QF': 557.99, 'QF': 557.99, 'JQ-NZ': 499.99}",195,1050.0,718.3948717948718,405.0,176.2548616697586,sabre,20180823_AKLSYD_22_14-2,competitor,-0.23065862001350793,AKLSYD,5.084745762711864,sabre,564.86,8,662.1495384615383,44.007158898547026,"{'VA': 564.86, 'EK': 660.76, 'LA': 627.86, 'JQ': 670.86, 'JQ-QF': 627.31, 'NZ': 618.86, 'EK-QF': 642.76, 'QF': 592.76}",195,1205.0,483.3692307692308,399.0,191.54915677377815,20180823
52,22_722_7,45,390.99,12,491.0495238095237,33.5553350088524,"{'JQ-LA': 508.99, 'QF-VA': 449.99, 'JQ-VA': 401.99, 'LA-NZ': 498.99, 'NZ-VA': 390.99, 'EK-JQ': 501.99, 'NZ-QF': 490.99, 'NZ': 491.99, 'LA-VA': 494.99, 'JQ-NZ': 405.99, 'EK-NZ': 490.99, 'EK-VA': 509.99}",168,940.0,425.5833333333333,399.0,93.17952646207539,sabre,20180823_AKLSYD_22_7-2,competitor,-0.39036804010332743,AKLSYD,18.14516129032258,tie,543.62,9,591.758705882353,33.244476581342354,"{'VA': 543.62, 'EK': 564.76, 'LA': 582.86, 'QF': 564.31, 'JQ': 590.8, 'JQ-QF': 567.86, 'NZ': 582.86, 'EK-QF': 614.31, 'JQ-TN': 652.86}",170,1335.0,533.7058823529412,399.0,261.67242376995495,20180823
53,3_23_2,39,540.99,6,616.6221839080458,23.18715756896114,"{'QF-VA': 604.99, 'JQ-VA': 558.99, 'NZ-VA': 560.99, 'JQ-QF': 607.99, 'NZ-QF': 582.99, 'JQ-NZ': 540.99}",174,1050.0,698.3620689655172,400.0,232.59230487491223,competitor,20180823_AKLSYD_3_2-2,competitor,-0.19384831512597275,AKLSYD,14.028776978417266,tie,645.86,8,738.4592857142856,40.248866989793825,"{'VA': 645.86, 'EK': 728.76, 'JQ': 709.8, 'EK-JQ': 707.56, 'JQ-QF': 677.11, 'NZ': 749.86, 'EK-QF': 728.31, 'QF': 708.15}",182,1505.0,772.6648351648352,400.0,338.1509074587351,20180823
