,Unnamed: 0,itinerary,ap_los,market,travel_time,fare,provider,search_date,ond,is_duplicate,price_rank_abs,time_rank_abs,price_rank,time_rank
48,1149,VA0817-VA0812,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
49,1152,VA0811-VA0800,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
50,1155,VA0803-VA0816,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
51,1158,VA0817-VA0814,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
52,1161,VA0803-VA0898,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
53,1164,VA0803-VA0894,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
54,1167,VA0813-VA0806,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
55,1169,VA0803-VA0814,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
56,1172,VA0803-VA0812,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
57,1175,VA0803-VA0810,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
58,1178,VA0803-VA0808,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
59,1181,VA0803-VA0806,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
60,1184,VA0803-VA0804,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
61,1187,VA0803-VA0800,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
62,1190,VA0817-VA0816,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
63,1193,VA0813-VA0816,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
64,1196,VA0811-VA0894,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
65,1199,VA0817-VA0806,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
66,1202,VA0815-VA0800,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
67,1205,VA0815-VA0898,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
68,1208,VA0815-VA0804,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
69,1211,VA0815-VA0894,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
70,1213,VA0815-VA0816,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
71,1216,VA0815-VA0814,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
72,1219,VA0815-VA0812,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
73,1221,VA0815-VA0810,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
74,1223,VA0815-VA0808,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
75,1226,VA0815-VA0806,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
76,1229,VA0813-VA0804,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
