,ap_los,both,competitor_cheapest,competitor_fare_mean,competitor_fare_std,competitor_min_carrier,competitor_only,competitor_time_max,competitor_time_mean,competitor_time_min,competitor_time_std,file_name,ond,overlap,sabre_cheapest,sabre_fare_mean,sabre_fare_std,sabre_min_carrier,sabre_only,sabre_time_max,sabre_time_mean=sabre,sabre_time_min,sabre_time_std,search_date
0,22_14,18,507.99,548.1244086021504,14.056188362069555,"{'VA': 557.99, 'QF-VA': 507.99, 'QF': 533.99}",186,1675.0,981.2096774193549,205.0,308.292181722545,20180823_ADLCBR_22_14-2,ADLCBR,5.357142857142857,528.7,583.35311827957,35.581569735164386,"{'JQ-QF': 592.78, 'VA': 557.67, 'QF': 528.7}",186,1050.0,630.2688172043011,205.0,210.5691971921843,20180823
1,3_23_2,64,507.99,521.9102898550723,6.655288873397119,"{'VA': 508.99, 'QF-VA': 507.99}",138,1815.0,854.963768115942,290.0,355.12180308738215,20180823_ADLCBR_3_2-2,ADLCBR,43.24324324324324,528.7,568.7516666666668,37.37672507716423,"{'VA': 533.97, 'QF': 528.7}",138,1450.0,622.7536231884058,205.0,189.3757247715823,20180823
2,22_1422_14,60,259.99,348.7547058823528,23.227677115614107,"{'QF-VA': 369.99, 'JQ-VA': 311.99, 'TT': 287.99, 'JQ-TT': 259.99, 'QF-TT': 340.99, 'TT-VA': 298.99}",187,185.0,185.0,185.0,0.0,20180823_BNESYD_22_14-2,BNESYD,23.62204724409449,384.0,431.14304812834223,30.09306064067723,"{'JQ-QF': 405.94, 'VA': 384.0, 'JQ': 471.85, 'QF': 408.02}",187,185.0,185.0,185.0,0.0,20180823
3,3_23_2,69,242.99,322.0291061452514,29.66505209923737,"{'VA': 349.99, 'QF-VA': 335.99, 'JQ-VA': 274.99, 'TT': 242.99, 'JQ-TT': 257.99, 'QF-TT': 242.99, 'TT-VA': 257.99}",179,185.0,185.0,185.0,0.0,20180823_BNESYD_3_2-2,BNESYD,31.363636363636363,360.03,397.79357541899435,19.79302494776287,"{'JQ-QF': 433.94, 'VA': 380.0, 'QF': 360.03}",179,185.0,185.0,185.0,0.0,20180823
4,22_1422_14,40,266.99,322.4707692307692,13.40018081155016,"{'JQ-VA': 319.99, 'TT': 293.99, 'JQ': 323.99, 'JQ-TT': 266.99, 'QF-TT': 326.99, 'TT-VA': 306.99}",208,185.0,180.2403846153846,180.0,1.0722245808782156,20180823_MELSYD_22_14-2,MELSYD,11.904761904761905,370.8,398.0820673076922,25.86827774108925,"{'JQ-QF': 370.8, 'VA': 374.99, 'QF': 424.01}",208,180.0,180.0,180.0,0.0,20180823
5,3_23_2,87,183.99,235.03907975460123,28.29950130018688,"{'TT': 198.99, 'JQ-TT': 183.99, 'JQ-VA': 213.99, 'TT-VA': 228.99}",163,185.0,182.23926380368098,180.0,2.4940283142833746,20180823_MELSYD_3_2-2,MELSYD,57.23684210526316,295.0,413.84067484662586,53.2737976746315,"{'JQ-QF': 325.8, 'VA': 295.0, 'JQ': 356.4, 'QF': 424.01}",163,180.0,180.0,180.0,0.0,20180823
6,22_14,18,696.99,868.1868085106382,55.525477992877,"{'AK-D7-TR': 696.99, 'GA-TR': 882.99, 'AK-D7': 818.99, 'EK': 831.99, 'AK-D7-QF': 939.99, 'QF-TR': 844.99, 'EK-TR': 829.99, '3K-AK-D7-JQ': 837.99}",188,2780.0,1755.5585106382978,950.0,427.003089297288,20180823_SINSYD_22_14-2,SINSYD,5.247813411078718,746.81,909.0345026178012,108.47969915168821,"{'PR': 899.56, 'EK': 831.61, 'SQ': 1334.66, 'MH': 1266.72, 'EK-QF': 883.53, 'GA': 987.66, 'QF': 746.81}",191,4055.0,1919.764397905759,955.0,520.9107126132975,20180823
7,3_23_2,5,585.99,760.3481395348839,87.03161481801257,"{'5J-JQ': 817.99, 'AK-D7-TR': 585.99, 'GA-TR': 865.99, 'AK-D7': 652.99, 'QF-TR': 836.99, 'AK-D7-QF': 866.99, 'AK-D7-EK': 866.99, '5J-AK-D7': 750.99, '5J-TR': 745.99, 'EK-TR': 836.99, 'JQ-TR': 652.99, 'AK-D7-TG': 848.99, 'TG-TR': 843.99, 'AK-D7-JQ': 719.99, 'CX-TR': 871.99}",215,3170.0,1956.1860465116279,950.0,591.5865432226694,20180823_SINSYD_3_2-2,SINSYD,1.187648456057007,862.32,1180.9737499999999,745.7503942799244,"{'PR': 995.96, 'EK': 1095.66, 'BA-QF': 5871.21, 'SQ': 1304.66, 'MH': 862.32, 'JQ': 862.79, 'EK-QF': 1095.66, 'GA': 1096.06, 'QF': 1088.29, 'QF-SQ': 7155.66}",216,4100.0,2396.3425925925926,950.0,803.4769230073383,20180823
