,date,count
0,2020-04-17 18:43:07.638129,4624
1,2020-04-17 20:23:22.438340,10
2,2020-04-17 20:23:51.788046,10
3,2020-04-17 20:25:03.701517,4299
4,2020-04-17 20:25:04.594308,4293
5,2020-04-17 20:25:05.632841,4293
6,2020-04-17 20:25:06.719470,4293
7,2020-04-17 20:25:08.014839,4293
8,2020-04-17 20:25:08.586524,4293
9,2020-04-17 20:25:09.591907,4293
10,2020-04-17 20:25:10.679844,4290
11,2020-04-17 20:25:11.817820,4290
12,2020-04-17 20:25:12.583866,4289
13,2020-04-17 20:25:13.820295,4295
14,2020-04-17 20:25:14.729664,4292
15,2020-04-17 20:25:15.706303,4294
16,2020-04-17 20:25:18.080054,4297
17,2020-04-17 20:25:19.149575,4299
18,2020-04-17 20:25:20.174873,4300
19,2020-04-17 20:25:21.040690,4299
20,2020-04-17 20:25:22.066703,4300
21,2020-04-17 20:25:23.135434,4300
22,2020-04-17 20:25:24.043034,4303
23,2020-04-17 20:25:25.054506,4302
24,2020-04-17 20:25:26.107923,4302
25,2020-04-17 20:25:27.087169,4304
26,2020-04-17 20:25:28.025421,4304
27,2020-04-17 20:25:29.084136,4304
28,2020-04-17 20:25:30.140175,4306
29,2020-04-17 20:25:31.081946,4306
30,2020-04-17 20:25:32.024943,4304
31,2020-04-17 20:25:33.103407,4306
32,2020-04-17 20:25:34.027484,4306
33,2020-04-17 20:25:35.063769,4305
34,2020-04-17 20:25:36.074774,4304
35,2020-04-17 20:25:37.144561,4306
36,2020-04-17 20:25:37.978842,4304
37,2020-04-17 20:25:39.012170,4304
38,2020-04-17 20:25:41.040977,4306
39,2020-04-17 20:25:41.869012,4305
40,2020-04-17 20:25:42.914362,4307
41,2020-04-17 20:25:43.995052,4303
42,2020-04-17 20:25:44.982021,4306
43,2020-04-17 20:25:45.906493,4308
44,2020-04-17 20:25:46.897207,4307
45,2020-04-17 20:25:47.985108,4310
46,2020-04-17 20:25:48.831813,4308
47,2020-04-17 20:25:49.850484,4308
48,2020-04-17 20:25:50.895434,4312
49,2020-04-17 20:25:51.843671,4310
50,2020-04-17 20:25:52.908800,4311
51,2020-04-17 20:25:54.049386,4312
