,Baggage_sabre,Seats_sabre,Meals_sabre,Seats_travelport,Baggage_travelport,Meals_travelport,Bookings
SK,1.0,1.0,1.0,1.0,1.0,1.0,25.0
SN,1.0,1.0,1.0,0.0,1.0,0.0,
SQ,,,,,,,79.0
SS,1.0,1.0,1.0,1.0,1.0,1.0,
SU,0.0,0.0,0.0,0.0,0.0,0.0,53.0
SV,,,,,,,47489.0
SW,1.0,0.0,0.0,0.0,0.0,0.0,
T0,1.0,0.0,0.0,0.0,0.0,0.0,
TA,1.0,0.0,0.0,0.0,0.0,0.0,
TF,0.0,0.0,0.0,0.0,0.0,0.0,
TG,,,,,,,63.0
TK,1.0,0.0,0.0,0.0,0.0,0.0,16837.0
TN,0.0,0.0,1.0,0.0,0.0,0.0,
TO,1.0,1.0,0.0,0.0,0.0,0.0,
TP,1.0,1.0,1.0,1.0,1.0,1.0,8.0
TR,,,,,,,239.0
TS,0.0,0.0,0.0,0.0,0.0,0.0,
TU,,,,,,,39.0
TX,1.0,1.0,1.0,1.0,1.0,1.0,
U2,1.0,1.0,0.0,1.0,1.0,0.0,
U6,0.0,1.0,1.0,0.0,0.0,0.0,3.0
UA,0.0,1.0,0.0,1.0,0.0,0.0,49.0
UJ,,,,,,,1193.0
UK,0.0,0.0,0.0,0.0,0.0,0.0,2.0
UL,1.0,0.0,1.0,0.0,1.0,1.0,2201.0
UT,0.0,0.0,0.0,0.0,0.0,0.0,
UU,1.0,1.0,1.0,0.0,0.0,0.0,
UX,1.0,1.0,0.0,0.0,0.0,0.0,60.0
V7,,,,,,,1.0
VA,1.0,1.0,0.0,1.0,1.0,0.0,6.0
VN,,,,,,,1.0
VS,0.0,0.0,0.0,0.0,0.0,0.0,16.0
VY,,,,,,,26.0
W2,,,,,,,3.0
WB,,,,,,,17.0
WF,0.0,0.0,0.0,0.0,0.0,0.0,
WS,0.0,1.0,0.0,1.0,0.0,0.0,13.0
WY,1.0,1.0,0.0,0.0,1.0,0.0,6510.0
XL,1.0,1.0,0.0,0.0,0.0,0.0,
XQ,,,,,,,14.0
XY,,,,,,,18007.0
YE,,,,,,,3.0
ZI,1.0,1.0,0.0,0.0,1.0,0.0,
