ap,los,ond,dates
8,7,BERPAR,20180815
15,3,BERPAR,20180815
15,7,BERPAR,20180815
22,7,BERPAR,20180815
22,14,BERPAR,20180815
3,2,PARPUF,20180815
8,7,PARPUF,20180815
15,3,PARPUF,20180815
8,2,PARPUF,20180815
22,7,PARPUF,20180815
15,7,PARPUF,20180815
22,14,PARPUF,20180815
8,7,LONPAR,20180815
8,2,LONPAR,20180815
3,2,LONPAR,20180815
15,3,LONPAR,20180815
15,7,LONPAR,20180815
22,7,LONPAR,20180815
22,14,LONPAR,20180815
3,2,PARPUJ,20180815
8,2,PARPUJ,20180815
8,7,PARPUJ,20180815
15,7,PARPUJ,20180815
15,3,PARPUJ,20180815
22,7,PARPUJ,20180815
22,14,PARPUJ,20180815
3,2,PARWNZ,20180815
8,2,PARWNZ,20180815
8,7,PARWNZ,20180815
15,3,PARWNZ,20180815
15,7,PARWNZ,20180815
22,7,PARWNZ,20180815
3,2,BODLYS,20180815
8,2,BODLYS,20180815
22,14,PARWNZ,20180815
8,7,BODLYS,20180815
15,3,BODLYS,20180815
15,7,BODLYS,20180815
22,7,BODLYS,20180815
22,14,BODLYS,20180815
3,2,GVAPAR,20180815
8,2,GVAPAR,20180815
15,3,GVAPAR,20180815
8,7,GVAPAR,20180815
15,7,GVAPAR,20180815
22,7,GVAPAR,20180815
22,14,GVAPAR,20180815
3,2,LYSTLS,20180815
8,2,LYSTLS,20180815
8,7,LYSTLS,20180815
15,3,LYSTLS,20180815
15,7,LYSTLS,20180815
22,7,LYSTLS,20180815
22,14,LYSTLS,20180815
3,2,ORNPAR,20180815
8,2,ORNPAR,20180815
8,7,ORNPAR,20180815
15,3,ORNPAR,20180815
22,7,ORNPAR,20180815
15,7,ORNPAR,20180815
22,14,ORNPAR,20180815
3,2,LAXPAR,20180815
8,2,LAXPAR,20180815
8,7,LAXPAR,20180815
22,7,LAXPAR,20180815
15,7,LAXPAR,20180815
15,3,LAXPAR,20180815
3,2,HAVPAR,20180815
8,2,HAVPAR,20180815
22,14,LAXPAR,20180815
8,7,HAVPAR,20180815
15,3,HAVPAR,20180815
15,7,HAVPAR,20180815
3,2,MUCPAR,20180815
22,7,HAVPAR,20180815
22,14,HAVPAR,20180815
8,2,MUCPAR,20180815
15,3,MUCPAR,20180815
8,7,MUCPAR,20180815
15,7,MUCPAR,20180815
22,14,MUCPAR,20180815
22,7,MUCPAR,20180815
3,2,BESPAR,20180815
8,2,BESPAR,20180815
8,7,BESPAR,20180815
15,3,BESPAR,20180815
15,7,BESPAR,20180815
22,7,BESPAR,20180815
22,14,BESPAR,20180815
8,7,BIQPAR,20180815
3,2,BIQPAR,20180815
15,3,BIQPAR,20180815
8,2,BIQPAR,20180815
15,7,BIQPAR,20180815
22,7,BIQPAR,20180815
22,14,BIQPAR,20180815
3,2,AJAPAR,20180815
8,2,AJAPAR,20180815
8,7,AJAPAR,20180815
15,3,AJAPAR,20180815
15,7,AJAPAR,20180815
22,14,AJAPAR,20180815
22,7,AJAPAR,20180815
3,2,PARSGN,20180815
8,7,PARSGN,20180815
8,2,PARSGN,20180815
15,3,PARSGN,20180815
15,7,PARSGN,20180815
22,7,PARSGN,20180815
3,2,ISTPAR,20180815
8,2,ISTPAR,20180815
