Carrier Code,Sum:
KL,1209115
IB,1185038
AT,1127376
EK,1099511
AZ,1056097
TP,1045653
BA,962173
A5,874757
U2,864863
AH,855236
ZI,806550
TU,800163
QR,713397
SN,584618
TX,579032
