,type,name,continent,iso_country,iso_region,iata_code,coordinates
19152,large_airport,Warsaw Chopin Airport,EU,PL,PL-MZ,WAW,"52.1656990051, 20.967100143399996"
19154,large_airport,Copernicus Wrocław Airport,EU,PL,PL-DS,WRO,"51.1026992798, 16.885799408"
19158,medium_airport,Zielona Góra-Babimost Airport,EU,PL,PL-LB,IEG,"52.138500213600004, 15.7986001968"
19421,medium_airport,Malmen Air Base,EU,SE,SE-E,,"58.40230178833008, 15.525699615478516"
19426,medium_airport,Ronneby Airport,EU,SE,SE-K,RNB,"56.266700744629, 15.265000343323"
19434,medium_airport,Råda Air Base,EU,SE,SE-Q,,"58.49810028076172, 13.053199768066406"
19443,large_airport,Gothenburg-Landvetter Airport,EU,SE,SE-Q,GOT,"57.662799835205, 12.279800415039"
19446,medium_airport,Jönköping Airport,EU,SE,SE-F,JKG,"57.757598876953125, 14.068699836730957"
19452,medium_airport,Gothenburg City Airport,EU,SE,SE-Q,GSE,"57.7747, 11.8704"
19453,medium_airport,Skövde Airport,EU,SE,SE-Q,KVB,"58.45640182495117, 13.972700119018555"
19455,medium_airport,Trollhättan-Vänersborg Airport,EU,SE,SE-Q,THN,"58.31809997558594, 12.345000267028809"
19460,medium_airport,Såtenäs Air Base,EU,SE,SE-Q,,"58.42639923095703, 12.714400291442871"
19467,medium_airport,Karlskoga Airport,EU,SE,SE-T,KSK,"59.34590148925781, 14.49590015411377"
19468,medium_airport,Mora Airport,EU,SE,SE-W,MXX,"60.957901, 14.5114"
19469,medium_airport,Stockholm Skavsta Airport,EU,SE,SE-D,NYO,"58.78860092163086, 16.912200927734375"
19475,medium_airport,Björkvik Air Base,EU,SE,SE-D,,"58.79079818725586, 16.571199417114258"
19486,medium_airport,Kristianstad Airport,EU,SE,SE-M,KID,"55.92169952392578, 14.08549976348877"
19491,medium_airport,Kalmar Airport,EU,SE,SE-H,KLR,"56.68550109863281, 16.287599563598633"
19493,large_airport,Malmö Sturup Airport,EU,SE,SE-M,MMX,"55.536305364, 13.376197814900001"
19494,medium_airport,Halmstad Airport,EU,SE,SE-N,HAD,"56.69110107421875, 12.820199966430664"
19498,medium_airport,Växjö Kronoberg Airport,EU,SE,SE-G,VXO,"56.929100036621094, 14.727999687194824"
19504,medium_airport,Sveg Airport,EU,SE,SE-Z,EVG,"62.04779815673828, 14.422900199890137"
19507,medium_airport,Gällivare Airport,EU,SE,SE-BD,GEV,"67.13240051269531, 20.814599990844727"
19511,medium_airport,Kramfors Sollefteå Airport,EU,SE,SE-Y,KRF,"63.04859924316406, 17.76889991760254"
19512,medium_airport,Lycksele Airport,EU,SE,SE-AC,LYC,"64.54830169677734, 18.71619987487793"
19514,medium_airport,Sundsvall-Härnösand Airport,EU,SE,SE-Y,SDL,"62.528099060058594, 17.443899154663086"
19515,medium_airport,Örnsköldsvik Airport,EU,SE,SE-Y,OER,"63.40829849243164, 18.989999771118164"
19517,medium_airport,Kiruna Airport,EU,SE,SE-BD,KRN,"67.821998596191, 20.336799621582"
19519,medium_airport,Skellefteå Airport,EU,SE,SE-AC,SFT,"64.62480163574219, 21.076900482177734"
19521,medium_airport,Umeå Airport,EU,SE,SE-AC,UME,"63.791801452637, 20.282800674438"
19522,medium_airport,Vilhelmina Airport,EU,SE,SE-AC,VHM,"64.5791015625, 16.833599090576172"
19523,medium_airport,Arvidsjaur Airport,EU,SE,SE-BD,AJR,"65.59030151367188, 19.28190040588379"
19524,medium_airport,Söderhamn Airport,EU,SE,SE-X,SOO,"61.26150131225586, 17.09910011291504"
19525,medium_airport,Åre Östersund Airport,EU,SE,SE-Z,OSD,"63.194400787354, 14.50030040741"
19526,medium_airport,Örebro Airport,EU,SE,SE-T,ORB,"59.22370147705078, 15.038000106811523"
19527,medium_airport,Hagfors Airport,EU,SE,SE-S,HFS,"60.02009963989258, 13.578900337219238"
19528,medium_airport,Karlstad Airport,EU,SE,SE-S,KSD,"59.444698333699996, 13.337400436400001"
19530,medium_airport,Stockholm Västerås Airport,EU,SE,SE-U,VST,"59.58940124511719, 16.63360023498535"
19532,large_airport,Luleå Airport,EU,SE,SE-BD,LLA,"65.543800354004, 22.121999740601"
19538,large_airport,Stockholm-Arlanda Airport,EU,SE,SE-AB,ARN,"59.651901245117, 17.918600082397"
19539,medium_airport,Stockholm-Bromma Airport,EU,SE,SE-AB,BMA,"59.354400634765625, 17.941699981689453"
19541,medium_airport,Borlange Airport,EU,SE,SE-W,BLE,"60.422000885009766, 15.515199661254883"
19547,medium_airport,Gävle Sandviken Airport,EU,SE,SE-X,GVX,"60.593299865722656, 16.951400756835938"
19548,medium_airport,Linköping City Airport,EU,SE,SE-E,LPI,"58.4062004089, 15.680500030500001"
19551,medium_airport,Norrköping Airport,EU,SE,SE-E,NRK,"58.586299896240234, 16.250600814819336"
19553,medium_airport,Torsby Airport,EU,SE,SE-S,TYF,"60.1576004028, 12.991299629199998"
19554,medium_airport,Eskilstuna Airport,EU,SE,SE-D,EKT,"59.35110092163086, 16.70840072631836"
19555,medium_airport,Visby Airport,EU,SE,SE-I,VBY,"57.662799835205, 18.346200942993"
19559,medium_airport,Ängelholm-Helsingborg Airport,EU,SE,SE-M,AGH,"56.29610061645508, 12.847100257873535"
19562,medium_airport,Ljungbyhed Airport,EU,SE,SE-M,,"56.082801818847656, 13.212499618530273"
19567,medium_airport,Storuman Airport,EU,SE,SE-AC,SQO,"64.96089935302734, 17.69659996032715"
19578,medium_airport,Pajala Airport,EU,SE,SE-BD,PJA,"67.24559783935547, 23.068899154663086"
