,Unnamed: 0,x
201,16249,"Lourdes de Blanc Sablon Airport,Lourdes de Blanc Sablon Airport(YBX)"
202,16250,"Cartwright Airport,Cartwright Airport(YRF)"
203,16251,"Cambridge Bay Airport,Cambridge Bay Airport(YCB)"
204,16252,"Cornwall Regional Airport,Cornwall Regional Airport(YCC)"
205,16253,"Nanaimo Airport,Nanaimo Airport(YCD)"
206,16254,"Centralia / James T. Field Memorial Aerodrome,Centralia / James T. Field Memorial Aerodrome(YCE)"
207,16255,"Castlegar/West Kootenay Regional Airport,Castlegar/West Kootenay Regional Airport(YCG)"
208,16256,"Miramichi Airport,Miramichi Airport(YCH)"
209,16258,"Charlo Airport,Charlo Airport(YCL)"
210,16259,"Cochrane Airport,Cochrane Airport(YCN)"
211,16260,"Kugluktuk Airport,Kugluktuk Airport(YCO)"
213,16262,"Chetwynd Airport,Chetwynd Airport(YCQ)"
214,16263,"Cross Lake (Charlie Sinclair Memorial) Airport,Cross Lake (Charlie Sinclair Memorial) Airport(YCR)"
215,16264,"Chesterfield Inlet Airport,Chesterfield Inlet Airport(YCS)"
216,16269,"Clyde River Airport,Clyde River Airport(YCY)"
217,16272,"Dawson City Airport,Dawson City Airport(YDA)"
218,16273,"Burwash Airport,Burwash Airport(YDB)"
220,16275,"Deer Lake Airport,Deer Lake Airport(YDF)"
221,16278,"Ross River Airport,Ross River Airport(XRR)"
222,16279,"Dauphin Barker Airport,Dauphin Barker Airport(YDN)"
223,16280,"Dolbeau St Felicien Airport,Dolbeau St Felicien Airport(YDO)"
224,16281,"Nain Airport,Nain Airport(YDP)"
225,16282,"Dawson Creek Airport,Dawson Creek Airport(YDQ)"
227,16286,"Edmonton International Airport,Edmonton International Airport(YEG)"
228,16287,"Arviat Airport,Arviat Airport(YEK)"
229,16288,"Elliot Lake Municipal Airport,Elliot Lake Municipal Airport(YEL)"
230,16289,"Manitoulin East Municipal Airport,Manitoulin East Municipal Airport(YEM)"
231,16290,"Estevan Airport,Estevan Airport(YEN)"
232,16291,"Fort Severn Airport,Fort Severn Airport(YER)"
