,Unnamed: 0,name,iso_country,municipality,iata_code
2926,38272,Fairbanks International Airport,US,Fairbanks,FAI
2927,38273,Ladd AAF Airfield,US,Fairbanks/Ft Wainwright,FBK
2928,38277,Ambler Airport,US,Ambler,ABL
2929,38282,Edward G. Pitka Sr Airport,US,Galena,GAL
2930,38286,Gulkana Airport,US,Gulkana,GKN
2931,38288,Gambell Airport,US,Gambell,GAM
2932,38289,Angoon Seaplane Base,US,Angoon,AGN
2933,38291,Gustavus Airport,US,Gustavus,GST
2934,38294,Holy Cross Airport,US,Holy Cross,HCR
2935,38295,Huslia Airport,US,Huslia,HSL
2936,38296,Haines Airport,US,Haines,HNS
2937,38297,Homer Airport,US,Homer,HOM
2938,38298,Hooper Bay Airport,US,Hooper Bay,HPB
2939,38302,Hydaburg Seaplane Base,US,Hydaburg,HYG
2940,38305,Egegik Airport,US,Egegik,EGX
2941,38306,Bob Baker Memorial Airport,US,Kiana,IAN
2942,38307,Iliamna Airport,US,Iliamna,ILI
2943,38308,Indian Mountain LRRS Airport,US,Utopia Creek,UTO
2944,38312,Juneau International Airport,US,Juneau,JNU
2945,38321,King Salmon Airport,US,King Salmon,AKN
2946,38323,Anaktuvuk Pass Airport,US,Anaktuvuk Pass,AKP
2947,38324,Ketchikan International Airport,US,Ketchikan,KTN
2948,38327,Klawock Airport,US,Klawock,KLW
2949,38334,Cape Lisburne LRRS Airport,US,Cape Lisburne,LUR
2950,38336,McGrath Airport,US,McGrath,MCG
2951,38341,Metlakatla Seaplane Base,US,Metlakatla,MTM
2952,38343,Merrill Field,US,Anchorage,MRI
2953,38345,Mekoryuk Airport,US,Mekoryuk,MYU
2954,38347,Ted Stevens Anchorage International Airport,US,Anchorage,ANC
2955,38348,Aniak Airport,US,Aniak,ANI
2956,38349,Nenana Municipal Airport,US,Nenana,ENN
2957,38351,Funter Bay Seaplane Base,US,Funter Bay,FNR
2958,38352,Annette Island Airport,US,Annette,ANN
2959,38354,Anvik Airport,US,Anvik,ANV
2960,38359,Nome Airport,US,Nome,OME
2961,38361,Northway Airport,US,Northway,ORT
2962,38362,Ralph Wien Memorial Airport,US,Kotzebue,OTZ
2963,38364,St George Airport,US,St George,STG
2964,38365,Port Clarence Coast Guard Station,US,Port Clarence,KPC
2965,38367,Petersburg James A Johnson Airport,US,Petersburg,PSG
2966,38368,Port Heiden Airport,US,Port Heiden,PTH
2967,38370,Platinum Airport,US,Platinum,PTU
2968,38376,Nuiqsut Airport,US,Nuiqsut,NUI
2969,38377,Arctic Village Airport,US,Arctic Village,ARC
2970,38379,Ruby Airport,US,Ruby,RBY
2971,38380,Savoonga Airport,US,Savoonga,SVA
2972,38381,Deadhorse Airport,US,Deadhorse,SCC
2973,38382,Sand Point Airport,US,Sand Point,SDP
2974,38383,Shishmaref Airport,US,Shishmaref,SHH
2975,38384,Sitka Rocky Gutierrez Airport,US,Sitka,SIT
2976,38385,Selawik Airport,US,Selawik,WLK
2977,38387,St Mary's Airport,US,St Mary's,KSM
2978,38388,St Paul Island Airport,US,St Paul Island,SNP
2979,38392,Sparrevohn LRRS Airport,US,Sparrevohn,SVW
2980,38394,Soldotna Airport,US,Soldotna,SXQ
2981,38395,Eareckson Air Station,US,Shemya,SYA
2982,38399,Togiak Airport,US,Togiak Village,TOG
2983,38401,Talkeetna Airport,US,Talkeetna,TKA
2984,38402,Tatalina LRRS Airport,US,Takotna,TLJ
2985,38403,Atqasuk Edward Burnell Sr Memorial Airport,US,Atqasuk,ATK
2986,38412,Valdez Pioneer Field,US,Valdez,VDZ
2987,38414,Kivalina Airport,US,Kivalina,KVL
2988,38416,Seward Airport,US,Seward,SWD
2989,38417,Wrangell Airport,US,Wrangell,WRG
2990,38418,Wainwright Airport,US,Wainwright,AIN
2991,38420,Noatak Airport,US,Noatak,WTK
2992,38422,Wasilla Airport,US,Wasilla,WWA
2993,38425,Yakutat Airport,US,Yakutat,YAK
2994,38427,Canton Island Airport,KI,Abariringa,CIS
2995,38443,Pelican Seaplane Base,US,Pelican,PEC
2996,38462,Fort Yukon Airport,US,Fort Yukon,FYU
2997,38575,Balimo Airport,PG,Balimo,OPU
2998,38582,Baimuru Airport,PG,Baimuru,VMU
2999,38587,Rota International Airport,MP,Rota Island,ROP
3000,38588,Saipan International Airport,MP,Saipan Island,SPN
3001,38589,Andersen Air Force Base,GU,"Yigo, Mariana Island",UAM
3002,38590,Antonio B. Won Pat International Airport,GU,"Hagåtña, Guam International Airport",GUM
3003,38591,Tinian International Airport,MP,Tinian Island,TIQ
