,type,name,iso_country,iata_code
51284,large_airport,Tribhuvan International Airport,NP,KTM
51291,medium_airport,Nepalgunj Airport,NP,KEP
51292,medium_airport,Pokhara Airport,NP,PKR
51305,medium_airport,Taplejung Airport,NP,TPJ
51308,medium_airport,Biratnagar Airport,NP,BIR
51311,medium_airport,Murod Kond Airport,IN,LTU
51316,medium_airport,Agatti Airport,IN,AGX
51318,medium_airport,Bellary Airport,IN,BEP
51319,large_airport,Kempegowda International Airport,IN,BLR
51321,medium_airport,Vijayawada Airport,IN,VGA
51322,medium_airport,Coimbatore International Airport,IN,CJB
51324,large_airport,Cochin International Airport,IN,COK
51325,large_airport,Calicut International Airport,IN,CCJ
51326,medium_airport,Kadapa Airport,IN,CDP
51327,medium_airport,Car Nicobar Air Force Station,IN,CBD
51331,large_airport,Rajiv Gandhi International Airport,IN,HYD
51332,medium_airport,Begumpet Airport,IN,BPM
51333,medium_airport,Kannur International Airport,IN,CNN
51335,medium_airport,Madurai Airport,IN,IXM
51336,medium_airport,Mangalore International Airport,IN,IXE
51337,large_airport,Chennai International Airport,IN,MAA
51340,medium_airport,Vir Savarkar International Airport,IN,IXZ
51341,medium_airport,Pondicherry Airport,IN,PNY
51342,medium_airport,Sri Sathya Sai Airport,IN,PUT
51345,medium_airport,Rajahmundry Airport,IN,RJA
51346,medium_airport,Salem Airport,IN,SXV
51350,medium_airport,Tiruchirapally Civil Airport Airport,IN,TRZ
51351,large_airport,Trivandrum International Airport,IN,TRV
51358,medium_airport,Gelephu Airport,BT,GLU
51359,medium_airport,Paro Airport,BT,PBH
51364,medium_airport,Gan International Airport,MV,GAN
51365,medium_airport,Hanimaadhoo Airport,MV,HAQ
51366,medium_airport,Kadhdhoo Airport,MV,KDO
51367,large_airport,Malé International Airport,MV,MLE
51369,medium_airport,Kaadedhdhoo Airport,MV,KDM
51371,medium_airport,Villa Airport,MV,VAM
51442,large_airport,Don Mueang International Airport,TH,DMK
51445,medium_airport,Kamphaeng Saen Airport,TH,KDT
51448,medium_airport,Trat Airport,TH,TDX
51450,large_airport,Suvarnabhumi Airport,TH,BKK
51452,medium_airport,U-Tapao International Airport,TH,UTP
51455,large_airport,Chiang Mai International Airport,TH,CNX
51456,medium_airport,Mae Hong Son Airport,TH,HGN
51458,medium_airport,Lampang Airport,TH,LPT
51459,medium_airport,Nan Airport,TH,NNT
51461,medium_airport,Phrae Airport,TH,PRH
51464,medium_airport,Chiang Rai International Airport,TH,CEI
51466,medium_airport,Phetchabun Airport,TH,PHY
51467,medium_airport,Hua Hin Airport,TH,HHQ
51468,medium_airport,Takhli Airport,TH,TKH
51470,medium_airport,Mae Sot Airport,TH,MAQ
51472,medium_airport,Sukhothai Airport,TH,THS
51473,medium_airport,Phitsanulok Airport,TH,PHS
51475,medium_airport,Tak Airport,TH,TKT
51479,medium_airport,Surat Thani Airport,TH,URT
51480,medium_airport,Narathiwat Airport,TH,NAW
51481,medium_airport,Chumphon Airport,TH,CJM
51482,medium_airport,Nakhon Si Thammarat Airport,TH,NST
51483,medium_airport,Krabi Airport,TH,KBV
51484,medium_airport,Songkhla Airport,TH,SGZ
51485,medium_airport,Pattani Airport,TH,PAN
51486,medium_airport,Samui Airport,TH,USM
51488,large_airport,Phuket International Airport,TH,HKT
51489,medium_airport,Ranong Airport,TH,UNN
